Name	ID	State	Network	County	Elevation_ft	Latitude	Longitude	HUC	Date_of_Data	Date_Report_Created	Value_inches	Percent_NRCS_1981_2010_Average	Percent_NRCS_1981_2010_Median	Percent_of_POR_Average	Percent_of_POR_Median	Percent_of_Water_Year_Peak	Percent_of_Average_Water_Year_Peak_POR	Percent_of_Median_Water_Year_Peak_POR	POR_Median_Departure_inches	Percentile_POR	Maximum_Rank_POR	Minimum_Rank_POR	Records_POR	Percent_of_Saturation	NRCS_1981_2010_Average_inches	NRCS_1981_2010_Median_inches	POR_Average_inches	POR_Median_inches	Minimum_POR_inches	Maximum_POR_inches	Year_of_Minimum_POR	Year_of_Maximum_POR	Number_of_Observations_POR	Saturation_inches
Crescent Lake #1	"2002	"	Minnesota	SCAN	Sherburne	980	45.41667	-93.95	"070102030503	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.7			183	190	100	138	150	2.7	95	2	19	2nd Highest				3.12	3	0	8.1	2016	1996	20	
Crosho	"426	"	Colorado	SNOTEL	Rio Blanco	9100	40.16745	-107.0575	"140500010106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5	114	119	112	117	100	81	86	1.5	75	9	25			9.2	8.8	9.38	9	6.3	16.8	1987	1996	33	
Crow Creek	"1045	"	Wyoming	SNOTEL	Albany	8330	41.2287	-105.38278	"101900090104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3	45	45	56	53	100	40	41	-2.7	13	14	3			6.6	6.6	5.37	5.7	2.4	8.8	2018	2011	16	
Crowder Flat	"977	"	California	SNOTEL	Modoc	5170	41.89318	-120.75202	"180102040103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3.9	89	95	120	108	100	91	85	0.3	68	7	11			4.4	4.1	3.25	3.6	0	7.4	"2014, 2015, 2018, more"	2008	20	
Crystal Lake	"427	"	Montana	SNOTEL	Fergus	6050	46.78942	-109.51205	"100401030204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.9	117	125	114	118	99	74	75	1.7	73	12	29			9.3	8.7	9.52	9.2	4.7	15.6	2017	2011	41	
Css Lab	"428	"	California	SNOTEL	Nevada	6894	39.32565	-120.36807	"180201250602	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	46.7	162	173	168	171	100	126	125	19.45	91	4	32			28.8	27	27.79	27.25	4	58	1991	2017	36	
Culebra #2	"430	"	Colorado	SNOTEL	Costilla	10500	37.20945	-105.19959	"130100020902	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.9	103	106	103	108	100	71	73	0.7	62	16	25			9.6	9.3	9.57	9.2	3.3	15.7	1981	2017	40	
Cumbres Trestle	"431	"	Colorado	SNOTEL	Conejos	10040	37.01878	-106.45179	"130201020203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.2	108	109	110	112	100	79	80	2.4	68	13	27			20.5	20.3	20.15	19.8	6	36.8	1990	2008	39	
Currant Creek	"432	"	Utah	SNOTEL	Wasatch	7915	40.35747	-111.08993	"140600040401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10	123	127	121	130	100	93	112	2.3	67	14	26			8.1	7.9	8.29	7.7	1.6	15.9	1981	2017	40	
Daisy Peak	"919	"	Montana	SNOTEL	Meagher	7600	46.66858	-110.33022	"100402010106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.2	109	109	99	105	100	59	63	0.35	61	10	14			6.6	6.6	7.3	6.85	4.2	11.6	2017	2018	24	
Daly Creek	"433	"	Montana	SNOTEL	Ravalli	5780	46.18367	-113.8533	"170102050901	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.7	95	99	93	97	100	68	73	-0.2	39	24	16			8.1	7.8	8.25	7.9	4.2	16.5	1984	1997	39	
Daly Lake	"434	"	Oregon	SNOTEL	Linn	3690	44.52147	-122.08718	"170900060101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.8	53	70	61	96	100	42	52	-0.3	45	22	18			14.6	11.2	12.79	8.1	0	42.1	"1992, 2010, 2015, more"	2002	39	
Dana Meadows	"DAN	"	California	Cooperator Snow Sensors	Tuolumne	9800	37.897	-119.257	"180400090102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	22.85	20.95	3.8	47.2	1991	2017	36	
Daniels-Strawberry	"435	"	Utah	SNOTEL	Wasatch	8008	40.2953	-111.25677	"140600040101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.1	137	148	134	151	100	104	113	6.1	83	8	33			13.2	12.2	13.5	12	5	26.5	2018	1986	41	
Darkhorse Lake	"436	"	Montana	SNOTEL	Beaverhead	8945	45.17367	-113.58448	"100200040301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.6	88	93	87	91	100	57	59	-1.9	32	27	12			22.4	21	22.63	21.5	13.3	37.7	2001	1997	39	
Deadman Creek	"437	"	Montana	SNOTEL	Meagher	6450	46.79279	-110.67545	"100301030401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.3	122	122	113	112	100	83	84	1	69	17	36			7.6	7.6	8.25	8.3	3.8	13.7	1987	1978	52	
Deadman Creek	"DDM	"	California	Cooperator Snow Sensors	Tuolumne	9250	38.332	-119.653	"180400100203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	20.11	18.95	2.9	54.2	1991	2017	30	
Deadman Hill	"438	"	Colorado	SNOTEL	Larimer	10220	40.80571	-105.76993	"101900070502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.5	117	113	111	109	100	63	62	1.1	70	13	27			11.5	11.9	12.22	12.4	5.7	19.8	2003	1986	41	
Deadwood Summit	"439	"	Idaho	SNOTEL	Valley	6860	44.54514	-115.5638	"170501200401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	30.6	95	97	97	99	100	69	73	-0.2	47	20	18			32.1	31.4	31.67	30.8	13.8	56.1	2001	1997	37	
Deer Park	"923	"	Wyoming	SNOTEL	Fremont	9700	42.59076	-108.90273	"100800030101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.6	105	124	112	127	100	68	77	2.7	75	6	16			12	10.2	11.26	9.9	6.8	24.1	2009	2017	21	
Derr.	"440	"	Oregon	SNOTEL	Wheeler	5850	44.4465	-119.93012	"170703040401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13	103	109	105	111	100	83	89	1.3	61	16	23			12.6	11.9	12.32	11.7	5.5	23.3	"1991, 2018"	1983	39	
Devils Postpile	"DPO	"	California	Cooperator Snow Sensors	Madera	7569	37.629	-119.085	"180400060402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	14.66	14.3	0	42.2	2018	2017	7	
Diamond Lake	"442	"	Oregon	SNOTEL	Douglas	5280	43.18787	-122.14003	"171003010204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.5	111	97	116	107	100	90	81	1	54	18	21			13.1	15	12.48	13.5	0	32.5	2015	1999	38	
Diamond Peak	"443	"	Nevada	SNOTEL	Eureka	8017	39.56361	-115.84421	"160600051503	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.7	145	143	149	150	100	110	112	2.55	91	4	33			5.3	5.4	5.16	5.15	0	12.4	2015	1984	36	
Dills Camp	"444	"	Utah	SNOTEL	Sanpete	9228	39.04554	-111.46875	"140700020201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.3	109	126	110	123	100	77	95	2.1	67	14	26			10.4	9	10.28	9.2	3.6	19.1	1981	"1984, 1993"	40	
Disaster Peak	"445	"	Nevada	SNOTEL	Humboldt	6260	41.96737	-118.18934	"160402010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.7	137	132	151	166	100	121	122	4.25	84	7	32			7.8	8.1	7.08	6.45	0	20.8	"2003, 2007, 2015, more"	1984	38	
Dismal Swamp	"446	"	California	SNOTEL	Modoc	7360	41.99127	-120.18033	"171200070304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	30.5	137	137	140	139	100	99	98	8.6	84	7	33			22.3	22.3	21.82	21.9	9.4	34.5	2012	2017	39	
Divide	"448	"	Montana	SNOTEL	Madison	7800	44.79317	-112.05645	"100200030102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.9	107	105	108	107	100	65	66	0.55	67	15	30			7.4	7.5	7.33	7.35	3.7	12.2	1977	1997	44	
Divide Peak	"449	"	Wyoming	SNOTEL	Carbon	8880	41.30398	-107.15241	"140500030203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.8	101	100	104	103	100	69	71	0.5	53	19	21			14.6	14.8	14.22	14.3	5.2	21.4	2015	1997	39	
Dollarhide Summit	"450	"	Idaho	SNOTEL	Blaine	8420	43.6025	-114.67417	"170402190201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.3			100	106	100	69	74	1	59	16	23					18.31	17.3	7.3	33.1	1991	2017	38	
Dome Lake	"451	"	Wyoming	SNOTEL	Sheridan	8880	44.57462	-107.29537	"100901010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.9	71	73	70	71	97	41	44	-2.4	7	38	4			8.3	8.1	8.39	8.3	4.7	11.9	2016	1990	41	
Dome Mountain	"1A19P	"	British Columbia	Cooperator Snow Sensors	"	"	5801	53.61667	-121.01667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	23.31	23.6	15.2	34.4	2017	2012	13	
Donkey Reservoir	"452	"	Utah	SNOTEL	Wayne	9799	38.2084	-111.47412	"140700030305	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.2	90	108	93	101	100	61	66	0.05	52	17	18			5.8	4.8	5.6	5.15	2.5	11.6	2018	1987	34	
Dorsey Basin	"453	"	Nevada	SNOTEL	Elko	7903	40.89343	-115.21104	"160401010604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.1	139	139	140	142	100	98	106	4.8	85	7	35			11.6	11.6	11.54	11.3	5.4	26.2	1981	1984	41	
Draw Creek	"454	"	Nevada	SNOTEL	Elko	7285	41.66198	-115.32397	"160401010403	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.7	132	143	136	151	100	108	106	4.3	77	9	28			9.6	8.9	9.36	8.4	2.7	20.8	2018	1997	36	
Dry Bread Pond	"455	"	Utah	SNOTEL	Cache	8302	41.41289	-111.5377	"160102030101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.6	120	127	119	127	100	88	96	3.9	68	14	28			15.5	14.6	15.65	14.7	6.2	33	1981	1986	41	
Dry Creek	"1243	"	Nevada	SNOTEL	Elko	6555	40.8638	-115.22014	"160401010601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.9			245	330	100	191	223	6.2	100	1	6	Highest				3.63	2.7	0	8.9	2015	2019	6	
Dry Fork	"906	"	Utah	SNOTEL	Salt Lake	7093	40.56533	-112.17343	"160202040106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.9	124	123	119	121	100	84	86	2.2	79	6	20			10.4	10.5	10.85	10.7	5.8	16.3	2018	1998	25	
Dry Lake	"457	"	Colorado	SNOTEL	Routt	8400	40.53397	-106.7813	"140500010409	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.6	109	113	109	110	100	80	83	1.7	66	14	26			17	16.5	17	16.9	6.4	25.5	1981	1997	39	
Dungeness	"943	"	Washington	SNOTEL	Clallam	4010	47.87224	-123.0788	"171100200301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.5	92	97	87	88	100	57	66	-0.9	45	12	10			7.1	6.7	7.44	7.4	0	22.7	"2005, 2015"	1999	21	
Dupuyer Creek	"458	"	Montana	SNOTEL	Teton	5750	48.06341	-112.7573	"100302010501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.1	88	91	92	95	100	61	64	-0.35	49	19	18			6.9	6.7	6.6	6.45	0.9	16	2005	1991	36	
EF Blacks Fork GS	"1163	"	Utah	SNOTEL	Summit	9360	40.88472	-110.54056	"140401070302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.9			104	129	99	65	81	2	63	4	6					8.53	6.9	4.8	14.8	2012	2011	9	
East Boulder Mine	"1105	"	Montana	SNOTEL	Sweet Grass	6335	45.50381	-110.08019	"100700020701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.4			117	113	98	72	84	0.5	70	4	7					3.75	3.9	0.4	7	2015	2018	11	
East Creek	"2D08P	"	British Columbia	Cooperator Snow Sensors	"	"	6575	50.63333	-116.91667	"170101090000	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	27.23	26.9	12.1	45.1	1993	1991	34	
East Rim Divide	"460	"	Wyoming	SNOTEL	Sublette	7930	43.13097	-110.2023	"170401030203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.9	95	105	89	98	98	66	71	-0.2	42	20	15			8.3	7.5	8.86	8.1	4.1	16.3	"1994, 2010"	2017	34	
East Willow Creek	"461	"	Utah	SNOTEL	Grand	8302	39.31213	-109.53179	"140600060205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.1	142	149	140	149	100	107	114	3	81	7	27			6.4	6.1	6.5	6.1	2	14.3	2006	1993	33	
Easy Pass	"998	"	Washington	SNOTEL	Whatcom	5270	48.85933	-121.43895	"171100010101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	62.7			96	87	100	61	57	-9.1	33	7	4					65.48	71.8	31.1	84.1	2015	2012	10	
Ebbetts Pass	"462	"	California	SNOTEL	Alpine	8661	38.5497	-119.80468	"160502010104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	43.9	161	170	157	167	100	113	125	17.6	88	6	36			27.3	25.8	27.9	26.3	5	68.1	1991	2017	41	
Echo Lake	"936	"	Colorado	SNOTEL	Clear Creek	10600	39.65627	-105.59345	"101900020801	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.3	98	108	106	102	98	45	48	0.1	60	9	12			4.4	4	4.05	4.2	1.2	8.8	2013	2007	21	
Echo Peak	"463	"	California	SNOTEL	El Dorado	7653	38.849	-120.0795	"160501010303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	51.2	156	151	158	149	100	119	125	16.8	87	6	34			32.9	34	32.48	34.4	7.5	66.5	1991	2017	39	
Eilertson Meadows	"464	"	Oregon	SNOTEL	Baker	5510	44.86887	-118.11387	"170502030404	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.4	154	147	158	154	100	125	134	4.7	92	4	36			8.7	9.1	8.49	8.7	0.6	15.2	2015	1986	39	
El Diente Peak	"465	"	Colorado	SNOTEL	Dolores	10000	37.78617	-108.02155	"140300020202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.6	130	149	132	152	100	96	102	5	78	8	26			11.2	9.8	11.04	9.6	4.3	20.4	2015	2008	33	
Elbow Lake	"910	"	Washington	SNOTEL	Whatcom	3040	48.69092	-121.90893	"171100040401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.5	63	57	67	70	98	46	46	-7.95	26	18	7			29.6	32.6	27.59	26.45	0	52.4	2015	1999	24	
Elk Butte	"466	"	Idaho	SNOTEL	Clearwater	5690	46.83998	-116.12233	"170603080701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															28.7	27.4	28.31	27.75	13.2	53.4	2005	1997	36	
Elk Cabin	"921	"	New Mexico	SNOTEL	Santa Fe	8210	35.7043	-105.80675	"130202010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	2.9	85	67	119	112	91	82	84	0.3	55	11	13			3.4	4.3	2.43	2.6	0	5.3	"2006, 2014, 2017, more"	1998	23	
Elk Peak	"1106	"	Montana	SNOTEL	Meagher	7600	46.4845	-110.7125	"100402010203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.6			135	143	100	89	102	7.1	90	2	10	2nd Highest				17.43	16.5	10.8	27.6	2012	2018	11	
Elk River	"467	"	Colorado	SNOTEL	Routt	8700	40.84781	-106.96871	"140500010206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.7	101	104	100	103	100	71	72	0.4	53	20	22			14.6	14.2	14.66	14.3	6	25	1981	1997	41	
Elkhart Park G.S.	"468	"	Wyoming	SNOTEL	Sublette	9400	43.00657	-109.75893	"140401020103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.7	94	98	92	97	99	63	65	-0.3	42	23	15			9.3	8.9	9.44	9	5	16.6	1988	1986	39	
Elkhead Divide	"1252	"	Colorado	SNOTEL	Routt	8780	40.79649	-107.10122	"140500010601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.1			100	100	100	80	80	0	50	2	2					16.13	16.1	10.8	21.5	2018	2017	3	
Elliot Ridge	"1120	"	Colorado	SNOTEL	Summit	10520	39.864	-106.4246	"140100020602	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.6			126	133	99	77	78	4.1	89	2	9	2nd Highest				13.14	12.5	9.5	16.8	2012	2017	10	
Emery Creek	"469	"	Montana	SNOTEL	Flathead	4350	48.43412	-113.93725	"170102090703	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.3	90	90	89	92	100	68	69	-0.9	31	30	14			11.5	11.4	11.56	11.2	5.5	19.7	2005	1997	43	
Emigrant Springs	"470	"	Oregon	SNOTEL	Umatilla	3800	45.55808	-118.45383	"170701030501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7	121	146	129	152	100	94	111	2.4	68	13	27			5.8	4.8	5.44	4.6	0	18.1	"1991, 1992, 2015"	1989	39	
Emigrant Summit	"471	"	Idaho	SNOTEL	Bear Lake	7390	42.36055	-111.56085	"160102020206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19	104	109	107	114	100	78	84	2.3	69	12	24			18.3	17.4	17.73	16.7	10.1	33.8	"1987, 1992"	1982	36	
Evening Star	"472	"	Wyoming	SNOTEL	Park	9200	44.65258	-109.78422	"100700060301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.3	92	99	88	90	100	60	66	-2	36	24	14			19.9	18.4	20.84	20.3	10.7	35.6	2001	1997	37	
Exit Glacier	"1092	"	Alaska	SNOTEL	Kenai Peninsula	400	60.19033	-149.62117	"190202020508	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.4		48	68	88	100	50	56	-1.05	43	5	4				15.3	10.83	8.45	2	24.4	2015	2012	8	
Fairbanks F.O.	"1174	"	Alaska	SNOTEL	Fairbanks North Star	450	64.85	-147.8	"190803060907	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	2.7	79	90	80	90	100	61	66	-0.3	37	23	13			3.4	3	3.38	3	1.4	8.7	2010	1993	36	
Fallen Leaf	"473	"	California	SNOTEL	El Dorado	6242	38.93403	-120.0545	"160501010401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.5	230	238	228	236	100	178	207	8.35	95	3	36			6.3	6.1	6.36	6.15	0	15.8	"2014, 2015, 2018, more"	1993	38	
Farewell Gap	"FRW	"	California	Cooperator Snow Sensors	Tulare	9500	36.412	-118.583	"180300070202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	34.88	29.1	11.6	76.8	2007	2017	12	
Farmington	"474	"	Utah	SNOTEL	Davis	7902	40.97462	-111.80975	"160201020502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	28.2	111	111	110	115	100	75	75	3.7	63	16	26			25.4	25.4	25.6	24.5	11.9	44.8	1988	1997	41	
Farmington Lower	"1054	"	Utah	SNOTEL	Davis	6779	40.992	-111.81702	"160201020502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.7	131	128	137	134	100	107	121	5.75	93	2	15	2nd Highest		17.3	17.7	16.62	16.95	6.9	26.3	2018	2004	16	
Farnsworth Lake	"475	"	Utah	SNOTEL	Sevier	9623	38.77246	-111.67662	"160300030405	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.2	140	146	138	144	100	81	83	5.6	97	2	38	2nd Highest		13	12.5	13.22	12.6	8.6	19.3	1981	1984	39	
Fawn Creek	"476	"	Nevada	SNOTEL	Elko	7031	41.82098	-116.10153	"170501040304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16	121	128	126	131	100	87	86	3.8	74	11	28			13.2	12.5	12.73	12.2	5.9	25.5	2018	1984	39	
Fielding Lake	"1268	"	Alaska	SNOTEL	Valdez-Cordova	3000	63.20267	-145.6305	"190803040302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.9			103	100	100	75	68	0	50	3	2	2nd Lowest				6.7	6.9	4.6	8.1	2017	2018	5	
Fish Creek	"477	"	Oregon	SNOTEL	Harney	7660	42.70992	-118.6321	"171200030107	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20.3	94	105	95	100	100	61	67	0	51	20	20			21.7	19.3	21.3	20.3	10.4	35.7	2012	1983	40	
Fish Lake	"478	"	Washington	SNOTEL	Kittitas	3430	47.53565	-121.08553	"170300010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.1	87	92	92	95	99	73	75	-1.1	37	23	14			26.5	25.2	25.22	24.2	7.7	44.8	2005	1999	36	
Fish Lake Utah	"1149	"	Utah	SNOTEL	Sevier	8798	38.50455	-111.76693	"140700030108	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.8			151	163	100	121	120	3.8	100	1	8	Highest				6.51	6	1.6	9.8	2018	"2016, 2019"	9	
Fish Lk.	"479	"	Oregon	SNOTEL	Jackson	4660	42.3801	-122.34943	"171003070801	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.5	89	94	96	102	100	75	73	0.15	51	19	20			10.7	10.1	9.89	9.35	0	19.2	2015	2008	38	
Fisher Creek	"480	"	Montana	SNOTEL	Park	9100	45.06235	-109.94488	"100700060202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20.5	79	83	74	78	100	51	54	-5.7	12	47	7			25.8	24.6	27.66	26.2	15.1	47.6	2001	1997	53	
Five Points Lake	"481	"	Utah	SNOTEL	Duchesne	10943	40.71785	-110.46721	"140600030701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.4	139	146	138	153	100	87	89	6	87	6	34			12.5	11.9	12.65	11.4	7.6	22.9	"2002, 2003"	2005	39	
Flattop Mtn.	"482	"	Montana	SNOTEL	Flathead	6300	48.80225	-113.85713	"170102070501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	29.4	84	90	83	84	100	60	63	-5.6	20	40	10			34.8	32.5	35.31	35	17.3	52.9	2001	1972	50	
Floe Lake	"2C14P	"	British Columbia	Cooperator Snow Sensors	"	"	6923	51.05	-116.13333	"170101070000	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	21.44	22	10.1	32.9	1993	1999	24	
Flower Mountain	"1285	"	Alaska	SNOTEL	Haines	2510	59.39617	-136.28123	"190103031206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.6			121	121	99	94	94	2.35	100	1	2	2nd Lowest				11.25	11.25	8.9	13.6	2018	2019	2	
Fool Creek	"1186	"	Colorado	SNOTEL	Grand	11150	39.8687	-105.8675	"140100010203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15			104	103	99	65	63	0.4	71	3	6					14.39	14.6	9.6	18.5	2013	2014	8	
Forestdale Creek	"1049	"	California	SNOTEL	Alpine	8017	38.68245	-119.9597	"160502010301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	45	165	176	174	181	100	126	133	20.15	93	2	15	2nd Highest		27.2	25.6	25.84	24.85	7.9	53	2012	2017	16	
Forni Ridge	"FRN	"	California	Cooperator Snow Sensors	El Dorado	7600	38.805	-120.213	"180201290302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	26.04	25	0	57.3	2015	2017	31	
Fort Valley	"1121	"	Arizona	SNOTEL	Coconino	7350	35.26806	-111.74486	"150200150102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0.8			58	800	42	25	32	0.7	70	4	8					1.39	0.1	0	9.6	"2016, 2017, 2018, more"	2010	11	
Four Trees	"FOR	"	California	Cooperator Snow Sensors	Plumas	5150	39.813	-121.321	"180201210801	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	18.53	19	0	45.4	"1991, 2015, 2018"	1993	39	
Fourmile Lake	"483	"	Oregon	SNOTEL	Klamath	5970	42.43933	-122.2288	"180102030202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20.6	84	82	93	94	100	72	69	-1.35	41	24	17			24.5	25.1	22.06	21.95	4.9	36.4	2015	1999	40	
Franklin Basin	"484	"	Idaho	SNOTEL	Franklin	8140	42.0505	-111.6012	"160102020501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.2	93	97	94	100	100	63	68	0	50	21	20			20.7	19.8	20.48	19.2	10.2	34.6	1981	1986	41	
Fredonyer Peak	"1277	"	California	SNOTEL	Lassen	7208	40.68799	-120.60805	"180800030304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.2			137	100	100	100	100	0	50	2	2					9.67	13.2	1.7	14.1	2018	2017	3	
Fremont Pass	"485	"	Colorado	SNOTEL	Summit	11400	39.37991	-106.19681	"140100020301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.3	119	132	118	122	100	69	71	2.6	76	10	29			12	10.8	12.13	11.7	6.3	18.5	1981	2006	39	
Frisco Divide	"486	"	New Mexico	SNOTEL	Catron	8000	33.73646	-108.94502	"150400040303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0.8	28	28	32	40	40	23	26	-1.2	26	29	11			2.9	2.9	2.53	2	0	6.9	"2006, 2014, 2015, more"	2010	39	
Frohner Meadow	"487	"	Montana	SNOTEL	Jefferson	6480	46.43545	-112.19277	"100301011305	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.9	128	123	115	119	99	75	79	1.1	78	11	36			5.4	5.6	6	5.8	3.2	11.4	2002	2018	47	
